njjet,ptb1,pta1,pta2,ptaa,etab1,etaa1,etaa2,mbb,maa,mb1h,mbbh,met,ht,ch,chn
0.0,49.60559,136.68088,27.865318,109.34347,1.9187512,1.3300543,0.5423074,4.229946,132.69388,223.65547,223.65547,31.67304,294.6802,3,backgrounds
0.0,216.81207275390625,279.3378295898437,60.27630233764648,316.319593626712,-0.3658186495304106,-1.7552348375320437,-1.641571760177612,124.8043140341988,124.48869664002405,680.2075264113474,804.6507081132384,19.928714752197266,797.1838989257812,2,$d \bar d \to hh$
3.0,169.92132568359375,83.61418914794922,47.58604049682617,84.5582273532495,-1.2784813642501829,-1.0357066392898562,-2.032822608947753,17.980495452880454,119.82561796091932,301.0135718193248,301.0135718193248,13.661126136779783,605.837158203125,2,$d \bar d \to hh$
2.0,159.2044677734375,140.58773803710938,140.54530334472656,257.53367339491973,-0.1658417135477065,-1.4076695442199705,-1.0357635021209717,110.94236903881573,124.40571098864464,494.1436646251755,539.0312571405909,33.775291442871094,739.6498413085938,2,$d \bar d \to hh$
0.0,90.13462829589844,144.61944580078125,77.5561294555664,197.08703254119996,-1.1888535022735591,-0.9850636720657348,-1.681750774383545,85.73154742267312,127.22610656252232,299.18830256106537,380.4088383284711,22.987852096557617,512.8212890625,2,$d \bar d \to hh$
1.0,348.3572387695313,280.2694396972656,45.43380355834962,325.12990072852915,-0.2811516821384429,0.2285007685422898,1.2738167047500608,40.86697006225586,124.90438924092636,720.7014538198297,720.7014538198297,22.947004318237305,862.910400390625,1,$u \bar u \to hh$
0.0,127.55116271972658,115.0886001586914,111.34877014160156,204.8885600262797,-2.268908739089964,-0.7159377336502072,-1.3679671287536614,119.72444640814044,122.22326347280192,420.3104732704131,516.7804139642299,14.469852447509766,535.337158203125,0,$gg \to hh$
1.0,61.22879,63.534874,13.517575,75.97347,2.0448194,-1.201571,1.7031534,7.1205564,119.06729,354.15503,354.15503,7.6107836,280.95306,3,backgrounds
1.0,44.55681228637695,101.2518539428711,29.58419036865234,90.73518575121984,1.7558746337890625,1.8594796657562251,0.5283771753311158,4.50663614273099,122.5727559524594,170.5068308741553,170.5068308741553,16.522674560546875,343.2850646972656,2,$d \bar d \to hh$
1.0,72.77273559570312,150.6579132080078,33.18989181518555,141.7632789775233,2.1459081172943115,0.8204380869865417,1.447540521621704,90.43422520955995,125.43880645909576,285.63466072503064,387.4758402747361,49.67784118652344,527.2333984375,0,$gg \to hh$
0.0,48.97635650634766,49.57148361206056,42.04095077514649,68.69150463396136,2.366288900375366,1.4857581853866575,-0.5417411327362057,7.171852588653009,124.93604033379768,255.72514337827812,255.72514337827812,9.403847694396973,309.2865600585937,2,$d \bar d \to hh$
0.0,214.7932281494141,248.03315734863284,134.0302276611328,378.84747151139806,1.469747543334961,1.2494724988937378,1.8688063621520996,115.74151130798153,124.94556049358364,589.5741110443238,748.6981745127914,26.10072135925293,887.4044799804688,1,$u \bar u \to hh$
2.0,163.38255310058594,168.22080993652344,93.4654312133789,258.87443154118097,0.383995622396469,1.6414892673492432,2.5637011528015137,9.860994338989258,125.74008808999598,574.8050583076097,574.8050583076097,43.78060150146485,756.300537109375,2,$d \bar d \to hh$
1.0,56.75792694091797,88.8251953125,43.36822891235352,46.65352347111543,-0.0656976178288458,0.4008653163909912,-0.2045264840126037,2.926808357238769,129.43734000210938,191.12395364413564,191.12395364413564,28.550369262695312,425.6567077636719,1,$u \bar u \to hh$
0.0,45.19091796875,111.91224670410156,29.80410194396973,82.40541009371438,-1.2617717981338503,0.814647674560547,1.540732741355896,5.471192836761475,123.00382548720712,292.4546634785533,292.4546634785533,41.14801406860352,343.9058837890625,2,$d \bar d \to hh$
1.0,203.76263427734372,71.68065643310547,49.34897613525391,23.01605483153267,2.331678867340088,1.5978755950927734,1.1283625364303589,20.775979995730605,122.11736058999192,313.8822989525026,313.8822989525026,50.37166976928711,605.5106201171875,0,$gg \to hh$
0.0,115.68610382080078,109.27265167236328,87.48762512207031,174.78793003064533,-0.3856659829616546,-1.711101055145264,-0.8841447234153748,100.72121246780048,122.81134627935472,357.5063342606234,414.4157629164405,21.00594711303711,456.4871826171875,1,$u \bar u \to hh$
2.0,30.195291519165043,175.77947998046875,56.326148986816406,198.3453506823371,-1.8662728071212769,0.0292304512113332,0.4172002673149109,2.287960290908876,126.65399218320884,281.7566987185095,281.7566987185095,17.772384643554688,592.3096313476562,1,$u \bar u \to hh$
0.0,53.777786,90.58315,18.666447,87.84363,-0.78309804,-1.365976,-3.6031299,8.195062,129.82864,234.74706,234.74706,22.359509,200.9706,3,backgrounds
0.0,33.384056,73.358246,5.487269,72.04218,-1.552375,-3.515237,0.040079247,7.202033,119.67287,196.65735,196.65735,9.750255,151.96259,3,backgrounds
2.0,102.57447052001952,171.66036987304688,61.30110549926758,215.09799208891863,-1.3169044256210327,-0.4594710469245909,-1.2701643705368035,10.9474506378173,123.72154643468907,347.77281357321027,347.77281357321027,28.09573745727539,564.1693725585938,0,$gg \to hh$
2.0,55.508525848388665,97.68136596679688,34.85087203979492,124.55089453636812,-0.0183251481503246,1.1643306016921997,-0.5313811898231501,5.59401798248291,120.09579797136922,216.6126168785456,216.6126168785456,16.05784034729004,543.8046264648438,0,$gg \to hh$
1.0,60.07555389404297,110.69953918457033,61.43509292602538,124.89939919700164,-3.262701749801634,0.0113716106861828,0.195326864719391,9.4251308441096,119.42051126039532,567.8719070593152,567.8719070593152,78.79016876220703,527.8397827148438,0,$gg \to hh$
